Date,Open,High,Low,Close,Volume,OpenInt
2005-06-27,37.638,38.134,37.29,37.833,341357,0
2005-06-28,37.909,38.675,37.909,38.667,198920,0
2005-06-29,38.667,38.839,38.188,38.497,131838,0
2005-06-30,38.574,38.939,38.539,38.605,126411,0
2005-07-01,38.539,38.817,38.514,38.76,66178,0
2005-07-05,38.76,39.382,38.755,39.17,128346,0
2005-07-06,38.8,38.909,38.197,38.213,211584,0
2005-07-07,38.213,38.661,38.104,38.437,250237,0
2005-07-08,38.374,39.204,38.351,39.132,137399,0
2005-07-11,39.264,40,39.162,39.696,142694,0
2005-07-12,39.776,39.776,39.357,39.45,160404,0
2005-07-13,39.061,39.373,37.988,38.554,508354,0
2005-07-14,38.554,38.639,37.63,37.951,280478,0
2005-07-15,37.858,38.08,37.539,37.586,122403,0
2005-07-18,37.539,37.716,37.369,37.462,133000,0
2005-07-19,37.462,37.462,37.02,37.339,123308,0
2005-07-20,37.214,37.787,37.059,37.787,177205,0
2005-07-21,37.864,37.864,36.743,36.75,146182,0
2005-07-22,36.711,37.63,36.648,37.63,162599,0
2005-07-25,37.586,37.68,36.882,37.068,120853,0
2005-07-26,37.097,37.499,37.027,37.245,111029,0
2005-07-27,37.206,37.29,36.976,37.135,146572,0
2005-07-28,37.252,37.369,37.09,37.135,187677,0
2005-07-29,37.059,37.47,37.059,37.382,210037,0
2005-08-01,37.447,37.707,36.811,36.91,201507,0
2005-08-02,37.02,37.7,37.02,37.578,100174,0
2005-08-03,37.423,38.025,37.231,37.523,165185,0
2005-08-04,37.6,37.6,36.859,36.867,138688,0
2005-08-05,36.918,36.918,35.852,36.108,176559,0
2005-08-08,36.169,36.402,35.587,35.767,336575,0
2005-08-09,35.845,36.245,35.719,35.784,138948,0
2005-08-10,35.859,36.34,35.603,35.852,1102784,0
2005-08-11,35.669,36.131,35.495,36.061,159629,0
2005-08-12,35.975,36.03,35.287,35.442,143341,0
2005-08-15,35.358,35.82,35.28,35.711,1135360,0
2005-08-16,35.627,35.798,35.403,35.41,128477,0
